id,label,species,country,group,host,isolation_source,sequence_length,clone,collection_date,lat_dec,long_dec
MG896185.1,"Uncultured bacterial clones from Clavelina coerulea, Terengganu Malaysia",Uncultured bacterial clones,Malaysia,MG896,Clavelina coerulea,"Bidong Island, Terengganu",1450,,10/01/12 0:00,5.613583333333334,103.05696666666667
MG896199.1,"Uncultured bacterial clones from Clavelina coerulea, Terengganu Malaysia",Uncultured bacterial clones,Malaysia,MG896,Clavelina coerulea,"Bidong Island, Terengganu",1393,,10/01/12 0:00,5.613583333333334,103.05696666666667
MW540618.1,"Endozoicomonas sp. from Acropora cytherea in Red Sea, Saudi Arabia",Endozoicomonas sp.,Saudi Arabia,MW540,Acropora cytherea,Red Sea,1016,,5/15/18 0:00,22.251666666666665,38.95643333333334
MW540619.1,"Endozoicomonas sp. from Acropora hemprichii in Red Sea, Saudi Arabia",Endozoicomonas sp.,Saudi Arabia,MW540,Acropora hemprichii,Red Sea,999,,5/15/18 0:00,22.251666666666665,38.95643333333334
OL957474.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,417,KS1-1-1,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957475.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,415,KS1-1-2,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957476.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,417,KS1-1-3,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957477.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,416,KS1-1-10,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957478.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,421,KS1-2-1,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957479.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,421,KS1-2-2,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957480.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,423,KS1-2-4,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957481.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,419,KS1-3-1,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957482.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,416,KS4-1-1C,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957483.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Enzozoicomonas,Taiwan,OL957,Stylophora pistillata,Kenting,415,KS4-1-2C,9/01/17 0:00,21.938944444444445,120.74572222222223
OL957502.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,420,OS2-1-2,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957503.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,422,OS2-1-3,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957504.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,437,OS2-2-1,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957505.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,437,OS2-2-2,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957506.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,437,OS2-2-3,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957507.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,436,OS2-2-6,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957508.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,416,OS2-3-1,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957509.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,416,OS2-3-2,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957510.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,419,OS2-4-1,10/01/17 0:00,26.62838888888889,127.85988888888889
OL957511.1,"Uncultured Enzozoicomonas from Stylophora pistillata in Okinawa, Japan",Uncultured Enzozoicomonas,Japan,OL957,Stylophora pistillata,Okinawa,419,OS2-4-2,10/01/17 0:00,26.62838888888889,127.85988888888889
OM273412.1,"Endozoicomonas gorgoniicola from Eunicea flexuosa in Florida Keys, Florida, USA",Endozoicomonas gorgoniicola,USA,OM273,Eunicea flexuosa,"Florida Keys, Florida",1284,,10/01/19 0:00,25.198333333333334,-80.50333333
OM273416.1,"Endozoicomonas euniceicola from Eunicea flexuosa in Florida Keys, Florida, USA",Endozoicomonas euniceicola,USA,OM273,Eunicea flexuosa,"Florida Keys, Florida",1144,,10/01/19 0:00,25.198333333333334,-80.50333333
